comment_id,parent_id,author,comment_text,like_count,published_at
Ugynbr3L8v6nIv7yN594AaABAg,,@leewatson6959,pad 1 would make a great test opportunity to catch a retuning starship. i personally think we need to have a few dumb towers to catch both booster and ship just incase of a major accident.,0,7 hours ago
UgxX1XgAs4YvJ9zJf9R4AaABAg,,@syedalam9483,I wonder why SpaceX never tried to land the Starship on a drone ship using the ring legs in the early years of Starship.,0,8 hours ago
UgysJjWnjZXZ6jgg2ap4AaABAg,,@clarencehopkins7832,"Why not starship direct to  the moon surface? Drop off water and fuel processing stuff. Then return to Starbase, Texas.",0,8 hours ago (edited)
UgxuQrD0U6_ntWNC8lB4AaABAg.AO_obyd7KnKAOaAsx04UHq,,@imaginary_friend7300,"It's not so simple.  To make FH they ended up needing to design a custom core, that set things back a few years.",0,41 minutes ago
UgyTvkosjKNCqkBIFIx4AaABAg.AO_j-48QfosAO_tJTjAFSl,,@ale131296,Nope,0,3 hours ago
UgzRUHbwyonvxKtMBHF4AaABAg.AO_g8FGF4p6AOaB4ZXEwTm,,@imaginary_friend7300,Bet the farm based on what?  Have they in the past?,0,39 minutes ago
UgzaRdYLPRTpsEKP_Cx4AaABAg.AO_fdJZ28AvAO_ujQmZ2BT,,@JackABeyer,🍻,1,3 hours ago
UgwJ0XncVJyDg-Qb-CN4AaABAg.AO_fOel-Q9pAOaBAbGJJvy,,@imaginary_friend7300,That's why they don't listen to pretend experts.  It won't be easy and landing site selection will play a big part of it.,0,38 minutes ago
Ugx47EsS5ouS287VFRp4AaABAg.AO_e4sdF87KAO_pQB7vFpE,,@cube2fox,I would also like to know.,0,3 hours ago
Ugx47EsS5ouS287VFRp4AaABAg.AO_e4sdF87KAO_t_6JWfz2,,@ale131296,NTRS: NASA Technical Reports Server,0,3 hours ago
Ugx47EsS5ouS287VFRp4AaABAg.AO_e4sdF87KAO_wWjZ5mWP,,@ImaginaryFacepalm,"@ale131296  Yeah I checked the publications released this month and couldn't find it, do you have a report number?",0,2 hours ago
Ugynbr3L8v6nIv7yN594AaABAg.AO_QhPSnKiXAOaBMONmk_f,,@imaginary_friend7300,There is no reason it can't unless there are major changes to the catching system.,0,36 minutes ago
UgxX1XgAs4YvJ9zJf9R4AaABAg.AO_OLJdB0cdAOaBK0GipAT,,@imaginary_friend7300,Not worth the risk and with those flimsy temp legs probably to way to keep it standing while being moved.,0,37 minutes ago
UgysJjWnjZXZ6jgg2ap4AaABAg.AO_KEwankvaAOaBOBB7DYg,,@imaginary_friend7300,Not enough fuel.,0,36 minutes ago
Ugwj86sGKQK9a1J7msN4AaABAg,,@clarencehopkins7832,Excellent work 🇺🇸💪🐎🚀,0,8 hours ago
UgxheyDGa7gADsKB4td4AaABAg,,@clarencehopkins7832,Go Elon,0,8 hours ago
UgzQ6Y7eN8vdz4C3PAN4AaABAg,,@tandyallen8498,Can this be the last time you wear a hoodie?,0,8 hours ago
UgxzbSVMvuZTa920KVN4AaABAg,,@flightsimdev,"In my opinion SpaceX Starship is more a show off rocket and PR nothing else, sure they can catch it, sure it can get back to earth but apart from this every flight has done little to actually getting to the Moon. Remember a refuelling test is a full refuelling test not a one tank it's done test, it the full tank up in LEO.",0,9 hours ago (edited)
Ugz6n5EPVJFpF0GLi-F4AaABAg,,@falconnm,"Minor quibble, but comparing HLS to the lunar lander isn't a complete picture.  The entire HLS has to launch from the moon and return astronauts to orbit, in that role it is the equivalent of the TINY apollo LUNAR ASCENT module, not the entire lander.",0,9 hours ago
Ugymdz4nYBqLvDilPYp4AaABAg,,@TimOFFon,"Where did he hide the microphone, in his beard?",0,9 hours ago
Ugz48Mtm6yfc84wO9Rt4AaABAg,,@liveregret,"""Buoy"" from ""Buoyant"" enough with the boo-ey nonsense.",1,9 hours ago
UgxDIQsRGOVmzj8HDc14AaABAg,,@ruphind8376,"Thank you, Jack. Awesome job as per usual.",0,10 hours ago
UgxHVt4vDkPvMOyuRN14AaABAg,,@SneezingEagle,Those shots from SpaceX never get old,0,10 hours ago
UgzP39gXWu85xpTl6Y54AaABAg,,@MikedeVrind,regretti 😆,0,11 hours ago
UgzfWOx4WikIlirRLx14AaABAg,,@masaibostwick6138,"Hi,
Why do you say ""on orbit"" and not in orbit ?",0,11 hours ago
Ugy3JRzIbby86xK-OQN4AaABAg,,@highman-zahara,Where is the HLS starship at least show us the progress made not just drawings shown on a computer screen,0,11 hours ago
UgxBnZ2r4i_auzux4nV4AaABAg,,@Ashhmitheimer,😊,0,11 hours ago
UgxpGZlHKww4poCLmTp4AaABAg,,@brokenbones78629,Dan huawei,0,11 hours ago (edited)
UgzGORwv0k0Mmw6i4QF4AaABAg,,@pipersall6761,"Besides the statue of Elon, there needs to be a statue of a Welder, the unsung heroes of this whole endeavor.",4,12 hours ago
UgxNXFGYNPTKZpfXtVF4AaABAg,,@gavpike9675,Have no idea how you cram soo much in ...and in your own language ....no regretties😂,0,12 hours ago
UgxKmRMSj4XqolSfGu14AaABAg,,@DavJumps,"20:08 The @NSF community loves and appreciates you, Mr. Huot.  😂",0,12 hours ago (edited)
Ugy0PzyPEFoBX5qiMuh4AaABAg,,@MrFoxRobert,👍👏🙏,0,13 hours ago
UgzxTWnAJBKvyAZ-KjB4AaABAg,,@winman14may,ahh! my hood!,0,13 hours ago
UgyyIgcLbUH3_Zg7-2h4AaABAg,,@TravisCyprien,Oh Brother we could care less about Starship! Artemis is where it’s at!,0,13 hours ago
UgxzbSVMvuZTa920KVN4AaABAg.AO_Hal3CgVjAOaBVqFwPwz,,@imaginary_friend7300,Show off for what?  Starship was being developed before HLS came along.,0,35 minutes ago
Ugz6n5EPVJFpF0GLi-F4AaABAg.AO_HSHOcodEAO_Y-V036NY,,@ale131296,You won’t believe which stage the Apollo astronauts lived in for their lunar surface missions. (Also HLS is both descent and ascent module),1,6 hours ago (edited)
Ugy3JRzIbby86xK-OQN4AaABAg.AO_33PJOe18AOaBbGu1YKn,,@imaginary_friend7300,That's NASA's business.  They have shown bits and pieces but Spacex does not show their customers hardware.,0,34 minutes ago
UgyyIgcLbUH3_Zg7-2h4AaABAg.AOZn7xqGakWAOaBguvh_dq,,@imaginary_friend7300,One would think you don't understand that Starship is hardware for Artemis...,0,34 minutes ago
Ugxfce_nlqK0wzsvrdl4AaABAg,,@rivendellroad,Can't decide which dwarf from LOTR that Jack most resembles with that beard/hoodie combo.,1,13 hours ago
Ugw-bqkBGb72aAlyGQ14AaABAg,,@DavJumps,4:57 👏🏼 🍝😔,0,13 hours ago (edited)
UgxaTd1jP7ZNUKi6Cgt4AaABAg,,@jundergaming,5 years from now they gonna post a compilation video called “How not to land on Mars” of every explosion in the program,20,13 hours ago
Ugz85QWlu8b7oSF8-N94AaABAg,,@FerociousPancake888,Soooo the depot is basically ship 26 and ship 26 was a pathfinder for it? Ship 26 is coming back!,8,14 hours ago
UgyZN-9eBLRW4_uUd394AaABAg,,@Michael_yes_Michael,How many buoys were there?,0,14 hours ago
Ugw_egZpaFKHUh1FR4F4AaABAg,,@Noam-Bahar,"Amazing work, top tier journalism. I cannot wait for Starship to carry humans to the moon!!",2,14 hours ago
UgwMSt4749feHTRt2Yl4AaABAg,,@wenwang16888,Interesting,0,14 hours ago
Ugy1eh1bPalw9ixB5Vp4AaABAg,,@nelsonlanglois9104,When's   flight  # 12....??,1,14 hours ago
UgynS_esXijTtgADT2p4AaABAg,,@evanw7867,"Jacks hood changes state:
1:50
3:55
6:09
6:18
10:35
12:59
14:30
15:42
20:18",56,14 hours ago (edited)
UgwKgHYwJKNO3VbYiZl4AaABAg,,@MrBenoitmann,"Always the same story, a tempting title, a big flashback to the past, then no real news apart from the hysterical need of these aficionados who need to show their faces.Thumbs down next .",0,14 hours ago
UgxUNfhb_Bnsnz-XhAZ4AaABAg,,@FilmsSilent,Why are they demolishing pad 1?,0,14 hours ago
UgzvvjtUm-kWfsQjyJh4AaABAg,,@GHOSTSTALKER90,"If there is a problem with the catch arms, is it possible for booster to power back up and go out to sea ?",2,15 hours ago
UgwJUisb3agMOLRQJQR4AaABAg,,@WyoSavage1976,I won't hold my breath on how long it will take BO to get their landing built.,1,15 hours ago
Ugz6LdjdCiaMet8rNol4AaABAg,,@OGcomputer11,Excellent 🚀🚀🚀🚀🚀,0,15 hours ago
UgzJVwKvw8mPW3smX1d4AaABAg,,@OGcomputer11,Very nice 👏👏👏👏👏👏👏,0,15 hours ago
UgzSQtTvUu3_8uRLmZR4AaABAg,,@Evodocturine,"I don't agree with polluting the ocean like this....

How many more boosters are gonna be dropping into the ocean? 

I feel like that will be really destructive in ecosystems....

😨",0,15 hours ago
UgwftoYPuvqhmZ9Ofcd4AaABAg,,@badrikaricheri,"Thank you, Jack, Cesar, Julia, John Gage and the entire NSF team for putting together this wonderful set of updates from across various SpaceX facilities. 
I wonder how are they going to cool the top of the booster quick disconnects?. It appears to be a very flat surface",5,15 hours ago
UgyqwIzMYef8XQL0Jtx4AaABAg,,@AlicenStephens,Nice,0,15 hours ago
Ugxa9Ix0qruogtYoHi54AaABAg,,@nbr3284,Dan Howt😂😂,0,15 hours ago
UgwuzzHTxV2rfgKJ4NF4AaABAg,,@lanzer22,Raptor V3 looks like a GCI render of what a rocket engine could look like.  Can't believe it's out in the real world now.  This level of progress had never been demonstrated.  It feels like all other launch providers are using gas cars when SpaceX had moved to EVs.,4,16 hours ago
Ugxfce_nlqK0wzsvrdl4AaABAg.AOZlIcsVqUVAOZzP0khvXe,,@mikegardner107,The bald one…. I can see him but don’t recall his name.,0,11 hours ago
UgxaTd1jP7ZNUKi6Cgt4AaABAg.AOZl2tbDR2OAO_mSfdTiRY,,@therookiegamer2727,"i feel like ""how not to fly an fully reusable rocket"" would be the natural progression from ""How not to land an orbital rocket booster""",2,4 hours ago
Ugw_egZpaFKHUh1FR4F4AaABAg.AOZeZzcbQY4AO_JqPr2kmH,,@flightsimdev,"Look up how long it took Falcon 9 to be human rated, sorry to bust your bubble but it wasn't quick.",0,8 hours ago
Ugy1eh1bPalw9ixB5Vp4AaABAg.AOZeCHnkGb7AOZftjqEJaq,,@RubyFoxton,Likely NET Febuary 2026,2,14 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AOZiG_KiWt4,,@charleslord2433,😂😂😂😂😂😂😂,4,14 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AOZmCcqpT8N,,@JackABeyer,L O L,10,13 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AOZvliMlqFh,,@ale131296,These are the important timestamps we need,5,12 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AO_5XS_UGnk,,@SneezingEagle,W,0,10 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AO_Qjcw0ZEe,,@MagicPantsDJoh,Hahahaha 😅,0,7 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AO_qjRXA6Qj,,@simonyapp,Wind :),0,3 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AO_yE1PrCt5,,@fordrock,@JackABeyer  How else do you know we are TRULY paying attention Jack? Lmao,2,2 hours ago
UgynS_esXijTtgADT2p4AaABAg.AOZe0WeBLK9AOa40ZLUsfr,,@JackABeyer,@fordrock the entire time i was recording i was thinking “this is going to be a nightmare for continuity” 😂😂😂😂,2,1 hour ago
UgwKgHYwJKNO3VbYiZl4AaABAg.AOZe0W3WLN1AOZvqJ2vy-t,,@ale131296,Boring,1,12 hours ago
UgwKgHYwJKNO3VbYiZl4AaABAg.AOZe0W3WLN1AO_2rTdAgzP,,@MrBenoitmann,@ale131296  stupid?,0,11 hours ago
UgwKgHYwJKNO3VbYiZl4AaABAg.AOZe0W3WLN1AOaBo-MhihB,,@imaginary_friend7300,@MrBenoitmann  Well that you claim no news does show you have some flaws in your understanding at the very least.  You could be stupid.  The evidence is trending that way.,0,33 minutes ago
UgxUNfhb_Bnsnz-XhAZ4AaABAg.AOZdbHeag7bAOZm6UUoBbD,,@imaginary_friend7300,It's now obsolete.,2,13 hours ago
UgxUNfhb_Bnsnz-XhAZ4AaABAg.AOZdbHeag7bAO_-Wdb9SFp,,@mikegardner107,It has no flame trench. The tower stays bug may be modified. The launch mount will be replaced.,0,11 hours ago
UgzvvjtUm-kWfsQjyJh4AaABAg.AOZdATkvaVwAOZvxnDAT7X,,@ale131296,The arms and tower get checked out while the booster is ascending so if there's a problem the booster just does not return to the launch site at all. This is what happened with Flight 6 and the booster just did a water landing,0,12 hours ago
UgzSQtTvUu3_8uRLmZR4AaABAg.AOZZPeDCQ5sAOZZppWPvHB,,@ale131296,There have been so far about 100 orbital launches worldwide this year which have dumped their hardware either in the ocean or in populated areas or in deserts and forests. There have only been five Starship flights this year for comparison,3,15 hours ago (edited)
UgzSQtTvUu3_8uRLmZR4AaABAg.AOZZPeDCQ5sAOZmDRjIH2B,,@imaginary_friend7300,"Pollution?  Stainless steel, Nickle alloys, carbon fiber and ceramics.  All pretty benign stuff.",3,13 hours ago
UgzSQtTvUu3_8uRLmZR4AaABAg.AOZZPeDCQ5sAOZqVrfkXaM,,@СергейБолдин-в9м,​ @imaginary_friend7300  What about batteries powering computers and moving parts?,0,13 hours ago
UgzSQtTvUu3_8uRLmZR4AaABAg.AOZZPeDCQ5sAO_08ErP6Ej,,@mikegardner107,They make good reefs for sea life.,3,11 hours ago
UgzSQtTvUu3_8uRLmZR4AaABAg.AOZZPeDCQ5sAOaBxpMF9ms,,@imaginary_friend7300,@СергейБолдин-в9м  Lithium carbon and nickle..  Again.. all pretty benign stuff.,0,31 minutes ago
UgyYiXhtnwq7Eezqr7N4AaABAg,,@AlicenStephens,Hi,0,16 hours ago
Ugy9oo3RvpYjcc2swxJ4AaABAg,,@GooseDied88,Thanks Jack and team! Love seeing you live in front of Starbase with the wind blowing,3,16 hours ago
UgzW_asn7jjP0eo_ULp4AaABAg,,@crisAguzm,Please activate the option to translate the language into Spanish because I don't speak English.,0,16 hours ago
UgzQITmSIKbpmdg0Xkh4AaABAg,,@rayjay848,2:32 wondered why they don’t just activate the FTS.,0,16 hours ago
Ugzx9RCAhcIKeBI3hJR4AaABAg,,@refurbansuburban,"Master Host Jack is in the house.  Great Update!  Nice explanation of Masseys test sites.  Great Script, Alejandro! God's Blessings on the entire team and their families (and their gear). God Bless the work.",1,16 hours ago
Ugx5Qn7VAdFy2WnlGPZ4AaABAg,,@brandonfigueroa7399,sweat animation,0,16 hours ago
UgzysPL_L-DRyZEUeoN4AaABAg,,@PowerScissor,"I can never stop thinking about how he's always ptalking in the wind, with zero wind sound.

Is that like a special mic, or done in post?  Wind is always so overwhelming in anything I record outside.",2,16 hours ago
UgysoQ-JHbccWM6R1TJ4AaABAg,,@cplim8404,Dant Hwitt 😂😂😂,0,16 hours ago
UgyeAcm2xq8QJnatH794AaABAg,,@WishYouWereHereWeams,That was one of the most exciting SBUs I’ve seen. No rest for the weary! Let’s go!,1,16 hours ago (edited)
UgxVdr4u_NJRDhMRqUR4AaABAg,,@joeltyler3427,5:02 Big pun,0,16 hours ago
UgztneNYtbpCA5VRErN4AaABAg,,@robrobinette,"Damping, not dampening. Dampening means to make something wet.",1,16 hours ago
UgzZajYIU2tyZlf4mvV4AaABAg,,@flintcoat2596,"Has anyone flown around the Brownsville area to look at any potentially new staging/construction areas SpaceX may have?  With their history of at least trying to think ahead of the box, and the work area reduction caused by Giga construction, I would think they have to be accumulating parts, if not actual construction!
     With the Port Facilities at Brownsville the ""NEW"" work area could be in any Port City.  Just a thought.",0,16 hours ago
Ugzfwd_1YHacq6GGBl14AaABAg,,@PM-Lanigan,"My guess is no matter what NASA does, I bet that SpaceX will still go to the Moon.",23,16 hours ago
UgyJvo-XgDQ7B7fdwQR4AaABAg,,@Warhorse26,"Thank you for pronouncing it ""boo-eee"" instead of ""boy"".... it drives me insane and I think you're the first one who has said it correctly in all the coverage I've watched from different people",2,16 hours ago
Ugy_G92Anb4Fymm4z414AaABAg,,@TroyRubert,Regretty 😭😭😭,0,16 hours ago
UgxeLUtXWoml8ZRz6vp4AaABAg,,@hupekyser,big regretty caught me off gaurd. 🤣,2,16 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg,,@CatMan_7,I hope I’m still alive when humans set foot back on the moon.,25,16 hours ago
UgzeQcEnLgQobhKbmIN4AaABAg,,@romec3435,👀🚀👍,0,16 hours ago
Ugy9axGKIV-a_23mIWN4AaABAg,,@learsiyenoham,AH my hood!😂😉,0,16 hours ago
Ugx04rcWN6QcTimt2JB4AaABAg,,@seancarroll146,"Jack, did they lose the two right side windows 9:05 on the crew support bunker during the last launch?",1,17 hours ago (edited)
UgzQITmSIKbpmdg0Xkh4AaABAg.AOZWWnkToHrAOZXAqs-UYq,,@ale131296,The FTS is autonomous so there's not really a way for them to send a signal to the FTS for that and the FTS is saved at entry so it's not enabled by the time it reaches landing burn,0,16 hours ago
UgzQITmSIKbpmdg0Xkh4AaABAg.AOZWWnkToHrAOZzC-upGev,,@mikegardner107,@ale131296 oh. “Safed” not “Saved”👍,0,11 hours ago
UgzZajYIU2tyZlf4mvV4AaABAg.AOZThhAGH6GAOZV86XrK0t,,@ale131296,Accumulating parts for what?,0,16 hours ago
UgzZajYIU2tyZlf4mvV4AaABAg.AOZThhAGH6GAOZWX4Hc_nA,,@WishYouWereHereWeams,RGV Aerial Photography…,0,16 hours ago
Ugzfwd_1YHacq6GGBl14AaABAg.AOZTND7iSxJAOZmJFNRiyt,,@imaginary_friend7300,Why?  They have no interest in the moon.  What would be the point?,1,13 hours ago
Ugzfwd_1YHacq6GGBl14AaABAg.AOZTND7iSxJAO_19ZeZgxq,,@startwinkk,"@imaginary_friend7300  pr,  spite, and sunk cost fallacy.",1,11 hours ago
Ugzfwd_1YHacq6GGBl14AaABAg.AOZTND7iSxJAO_tHp03JuI,,@PM-Lanigan,@imaginary_friend7300  To prove NASA wrong and testing.,1,3 hours ago
Ugzfwd_1YHacq6GGBl14AaABAg.AOZTND7iSxJAOaC6v2vVa9,,@imaginary_friend7300,@startwinkk  That's meaningless nonsense.,0,30 minutes ago
Ugzfwd_1YHacq6GGBl14AaABAg.AOZTND7iSxJAOaC9sPxLw5,,@imaginary_friend7300,@PM-Lanigan  Prove wrong about what?  NASA is a big customer and supporter.  Why antagonize them?  They'll need them more in the future.,0,30 minutes ago
UgyJvo-XgDQ7B7fdwQR4AaABAg.AOZSsxAWagUAOZc0jxKaku,,@Swiftbiscuit,"British pronounce it ""boy"". How do you pronounce buoyancy?",5,15 hours ago
UgyJvo-XgDQ7B7fdwQR4AaABAg.AOZSsxAWagUAOZc3US01Ql,,@magnuskremlin,The latter isn't wrong. The pronunciation of buoy has regional differences,1,15 hours ago
UgyJvo-XgDQ7B7fdwQR4AaABAg.AOZSsxAWagUAOZdutfJjYb,,@Mikey_399,"Bouy from the word buoyancy, not the word booeeyancy, the correct original English pronunciation is “boy”",2,14 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAOZmxvL_z-9,,@Pleiades721,We're all right here with you. Hoping the same. Always thought we had more time - life goes quick.,1,13 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAOZqa2gTD98,,@davidhuber6251,"Me too.  I would be totally flabergasted to see even one set of boot prints on Mars, but I seriously doubt I'll see that.",2,13 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAOZvLefBMRY,,@dancingdog2790,I hope any humans are alive,0,12 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAO_HlyhsW-c,,@flightsimdev,"Falcon 9 took 10 years to be human rated, tack that onto 2025.",1,9 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAO_KD2fZL6q,,@wmason1961,"We are doing now what I thought we would be doing in the 80s. When I was a child, I watched Appollo and thought we would be doing, by the 80s,  what we are just now getting started doing. I feel like NASAs concentration on the shuttle dashed my childhood dreams of space travel. 50 years wasted. Thanks NASA.",2,8 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAO_KULPWfpb,,@wmason1961,​ @Pleiades721 NASA  always think we have more time. Wasted time is NASAs norm. Nothing they ever do is on time. Or on budget.,0,8 hours ago
UgzQAeEyQxybs9zWPPB4AaABAg.AOZRl-JeAnjAO_sD4aNhfn,,@Pleiades721,"@wmason1961  I didn't mean time in terms of NASA or projects - I meant that life is so short. You really missed the point, kid.",0,3 hours ago
